iter	Passed	Remaining
0	1	136
1	2	127
2	3	125
3	4	115
4	5	111
5	7	111
6	8	111
7	9	109
8	10	107
9	11	104
10	12	103
11	14	103
12	15	102
13	16	100
14	17	98
15	18	97
16	19	95
17	20	93
18	21	91
19	22	90
20	23	88
21	24	87
22	26	87
23	27	85
24	28	84
25	29	83
26	30	81
27	31	80
28	32	78
29	32	76
30	33	75
31	34	73
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	48	58
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	58	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	81	23
78	82	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	104	0
