iter	Passed	Remaining
0	5	5657
1	7	3676
2	8	2971
3	10	2604
4	11	2380
5	13	2217
6	15	2164
7	17	2201
8	19	2098
9	20	2031
10	22	1986
11	23	1955
12	25	1914
13	26	1875
14	27	1837
15	31	1914
16	32	1891
17	34	1860
18	35	1830
19	36	1796
20	37	1767
21	39	1737
22	40	1707
23	41	1682
24	42	1657
25	43	1632
26	45	1634
27	47	1631
28	48	1618
29	49	1601
30	50	1588
31	52	1579
32	54	1582
33	55	1573
34	56	1561
35	57	1550
36	59	1547
37	61	1551
38	62	1551
39	64	1546
40	65	1542
41	67	1546
42	69	1540
43	70	1536
44	72	1531
45	74	1542
46	76	1545
47	78	1551
48	79	1548
49	81	1543
50	82	1538
51	84	1533
52	86	1536
53	87	1531
54	89	1533
55	91	1536
56	92	1537
57	94	1534
58	96	1531
59	97	1526
60	98	1520
61	100	1519
62	101	1516
63	103	1516
64	105	1523
65	107	1521
66	108	1516
67	110	1511
68	111	1508
69	113	1502
70	114	1498
71	116	1495
72	117	1490
73	119	1494
74	121	1493
75	122	1492
76	124	1488
77	125	1483
78	126	1479
79	128	1473
80	129	1469
81	130	1465
82	131	1453
83	133	1452
84	134	1450
85	136	1451
86	137	1447
87	139	1444
88	140	1439
89	141	1433
90	143	1428
91	144	1424
92	145	1419
93	146	1415
94	165	1575
95	167	1574
96	168	1570
97	170	1567
98	171	1564
99	173	1558
100	174	1555
101	176	1552
102	177	1547
103	179	1549
104	181	1548
105	183	1546
106	185	1544
107	186	1541
108	188	1537
109	189	1533
110	191	1530
111	192	1526
112	194	1530
113	197	1533
114	199	1532
115	200	1531
116	202	1526
117	203	1522
118	205	1519
119	207	1519
120	209	1520
121	211	1519
122	213	1519
123	214	1518
124	216	1516
125	218	1515
126	219	1511
127	221	1509
128	223	1510
129	226	1512
130	227	1511
131	229	1510
132	231	1509
133	233	1506
134	234	1504
135	236	1501
136	239	1507
137	241	1506
138	243	1506
139	244	1504
140	246	1501
141	247	1495
142	249	1494
143	251	1493
144	253	1495
145	255	1494
146	257	1493
147	258	1490
148	260	1490
149	263	1491
150	264	1488
151	266	1486
152	268	1486
153	270	1484
154	272	1482
155	273	1480
156	275	1477
157	277	1476
158	278	1474
159	281	1478
160	283	1476
161	285	1475
162	287	1473
163	288	1472
164	290	1472
165	292	1470
166	294	1467
167	296	1468
168	298	1468
169	300	1469
170	302	1468
171	304	1468
172	306	1467
173	308	1465
174	310	1462
175	312	1461
176	314	1462
177	316	1460
178	317	1457
179	319	1456
180	321	1455
181	323	1454
182	326	1458
183	328	1455
184	330	1454
185	331	1451
186	333	1450
187	335	1447
188	336	1444
189	338	1443
190	340	1441
191	343	1444
192	345	1444
193	347	1443
194	349	1440
195	350	1439
196	352	1437
197	354	1435
198	356	1434
199	358	1434
200	360	1433
201	362	1432
202	364	1431
203	366	1428
204	368	1429
205	370	1427
206	372	1426
207	374	1424
208	376	1424
209	378	1423
210	379	1420
211	381	1418
212	383	1416
213	385	1414
214	387	1413
215	389	1414
216	391	1412
217	393	1411
218	395	1409
219	396	1406
220	398	1403
221	400	1402
222	402	1401
223	403	1399
224	405	1395
225	406	1393
226	408	1391
227	410	1389
228	412	1388
229	414	1386
230	415	1384
231	417	1381
232	418	1378
233	420	1376
234	422	1374
235	423	1372
236	425	1369
237	427	1367
238	428	1365
239	431	1365
240	433	1364
241	434	1362
242	436	1359
243	438	1358
244	440	1357
245	443	1357
246	445	1357
247	446	1354
248	449	1354
249	450	1351
250	452	1350
251	454	1348
252	456	1348
253	459	1348
254	461	1349
255	463	1348
256	465	1346
257	468	1346
258	470	1345
259	472	1344
260	475	1345
261	477	1345
262	480	1347
263	482	1344
264	483	1341
265	485	1338
266	488	1339
267	489	1337
268	492	1337
269	494	1337
270	497	1337
271	499	1335
272	500	1333
273	502	1332
274	504	1330
275	505	1327
276	507	1324
277	509	1322
278	511	1322
279	513	1321
280	515	1319
281	517	1318
282	519	1315
283	520	1313
284	523	1312
285	525	1312
286	527	1310
287	529	1308
288	530	1305
289	532	1303
290	535	1304
291	537	1302
292	539	1301
293	541	1299
294	542	1297
295	544	1294
296	545	1292
297	550	1295
298	552	1295
299	554	1293
300	555	1290
301	557	1288
302	559	1286
303	561	1285
304	563	1284
305	566	1284
306	567	1282
307	569	1279
308	571	1277
309	572	1274
310	574	1272
311	576	1271
312	578	1270
313	580	1268
314	581	1265
315	583	1263
316	585	1260
317	586	1257
318	588	1255
319	589	1252
320	591	1250
321	593	1249
322	595	1247
323	596	1244
324	598	1242
